#### Simulations (50)
# Process.x #1
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.4306 -10.0
# Process.x #17
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.0511 -10.0
# Process.x #18
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.77 -10.0
# Process.x #19
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.2632 -10.0
# Process.x #20
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.4847 -10.0
# Process.x #21
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.868 -10.0
# Process.x #22
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.1337 -10.0
# Process.x #23
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.2835 -10.0
# Process.x #24
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.7406 -10.0
# Process.x #25
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.7399 -10.0
# Process.x #26
0.0 0.0
0.0 0.0
1.0 0.0
1.0 1.0
2.0 1.0
2.0 2.0
3.0 2.0
3.0 3.0
4.0 3.0
4.0 4.0
5.0 4.0
5.0 5.0
6.0 5.0
6.0 6.0
7.0 6.0
7.0 7.0
8.0 7.0
8.0 8.0
9.0 8.0
9.0 9.0
10.0 9.0
10.0 10.0
10.4538 10.0
# Process.x #27
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.4533 -10.0
# Process.x #28
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
