#### Simulations (100)
# Process.x #1
0.0 0.0
0.0 0.0
1.0 0.0
1.0 10.0
2.0 10.0
2.0 20.0
3.0 20.0
3.0 30.0
4.0 30.0
4.0 40.0
5.0 40.0
5.0 50.0
6.0 50.0
6.0 60.0
7.0 60.0
7.0 70.0
8.0 70.0
8.0 80.0
9.0 80.0
9.0 90.0
10.0 90.0
10.0 100.0
10.4823 100.0
# Process.x #24
0.0 0.0
0.0 0.0
1.0 0.0
1.0 1.0
2.0 1.0
2.0 2.0
3.0 2.0
3.0 3.0
4.0 3.0
4.0 4.0
5.0 4.0
5.0 5.0
6.0 5.0
6.0 6.0
7.0 6.0
7.0 7.0
8.0 7.0
8.0 8.0
9.0 8.0
9.0 9.0
10.0 9.0
10.0 10.0
10.0655 10.0
# Process.x #25
0.0 0.0
0.0 0.0
1.0 0.0
1.0 1.0
2.0 1.0
2.0 2.0
3.0 2.0
3.0 3.0
4.0 3.0
4.0 4.0
5.0 4.0
5.0 5.0
6.0 5.0
6.0 6.0
7.0 6.0
7.0 7.0
8.0 7.0
8.0 8.0
9.0 8.0
9.0 9.0
10.0 9.0
10.0 10.0
10.3957 10.0
# Process.x #26
0.0 0.0
0.0 0.0
1.0 0.0
1.0 10.0
2.0 10.0
2.0 20.0
3.0 20.0
3.0 30.0
4.0 30.0
4.0 40.0
5.0 40.0
5.0 50.0
6.0 50.0
6.0 60.0
7.0 60.0
7.0 70.0
8.0 70.0
8.0 80.0
9.0 80.0
9.0 90.0
10.0 90.0
10.0 100.0
10.5415 100.0
# Process.x #27
0.0 0.0
0.0 0.0
1.0 0.0
1.0 10.0
2.0 10.0
2.0 20.0
3.0 20.0
3.0 30.0
4.0 30.0
4.0 40.0
5.0 40.0
5.0 50.0
6.0 50.0
6.0 60.0
7.0 60.0
7.0 70.0
8.0 70.0
8.0 80.0
9.0 80.0
9.0 90.0
10.0 90.0
10.0 100.0
10.7167 100.0
# Process.x #28
0.0 0.0
0.0 0.0
1.0 0.0
1.0 10.0
2.0 10.0
2.0 20.0
3.0 20.0
3.0 30.0
4.0 30.0
4.0 40.0
5.0 40.0
5.0 50.0
6.0 50.0
6.0 60.0
7.0 60.0
7.0 70.0
8.0 70.0
8.0 80.0
9.0 80.0
9.0 90.0
10.0 90.0
10.0 100.0
10.5191 100.0
# Process.x #29
0.0 0.0
0.0 0.0
1.0 0.0
1.0 1.0
2.0 1.0
